CDUID,month,year,date,background_pm25
1001,1,2019,2019-01-01,0.36
1001,2,2019,2019-02-01,0.21
1001,3,2019,2019-03-01,0.71
1001,4,2019,2019-04-01,0.51
1001,5,2019,2019-05-01,0.57
1001,6,2019,2019-06-01,1.06
1001,7,2019,2019-07-01,0.82
1001,8,2019,2019-08-01,1.2
1001,9,2019,2019-09-01,0.65
1001,10,2019,2019-10-01,0.58
1001,11,2019,2019-11-01,0.62
1001,12,2019,2019-12-01,0.25
1001,1,2020,2020-01-01,0.35285714285714287
1001,2,2020,2020-02-01,0.2042857142857143
1001,3,2020,2020-03-01,0.7014285714285714
1001,4,2020,2020-04-01,0.5042857142857143
1001,5,2020,2020-05-01,0.5585714285714285
1001,6,2020,2020-06-01,1.042857142857143
1001,7,2020,2020-07-01,0.807142857142857
1001,8,2020,2020-08-01,1.1857142857142857
1001,9,2020,2020-09-01,0.6414285714285715
1001,10,2020,2020-10-01,0.5714285714285714
1001,11,2020,2020-11-01,0.6114285714285714
1001,12,2020,2020-12-01,0.24285714285714285
1001,1,2021,2021-01-01,0.3457142857142857
1001,2,2021,2021-02-01,0.19857142857142857
1001,3,2021,2021-03-01,0.6928571428571428
1001,4,2021,2021-04-01,0.49857142857142855
1001,5,2021,2021-05-01,0.5471428571428572
1001,6,2021,2021-06-01,1.0257142857142858
1001,7,2021,2021-07-01,0.7942857142857143
1001,8,2021,2021-08-01,1.1714285714285715
1001,9,2021,2021-09-01,0.6328571428571429
1001,10,2021,2021-10-01,0.5628571428571428
1001,11,2021,2021-11-01,0.6028571428571429
1001,12,2021,2021-12-01,0.2357142857142857
1001,1,2022,2022-01-01,0.3385714285714286
1001,2,2022,2022-02-01,0.19285714285714287
1001,3,2022,2022-03-01,0.6842857142857143
1001,4,2022,2022-04-01,0.4928571428571428
1001,5,2022,2022-05-01,0.5357142857142857
1001,6,2022,2022-06-01,1.0085714285714287
1001,7,2022,2022-07-01,0.7814285714285714
1001,8,2022,2022-08-01,1.1571428571428573
1001,9,2022,2022-09-01,0.6242857142857143
1001,10,2022,2022-10-01,0.5542857142857143
1001,11,2022,2022-11-01,0.5942857142857143
1001,12,2022,2022-12-01,0.2285714285714286
1001,1,2023,2023-01-01,0.3314285714285714
1001,2,2023,2023-02-01,0.18714285714285714
1001,3,2023,2023-03-01,0.6757142857142857
1001,4,2023,2023-04-01,0.48714285714285716
1001,5,2023,2023-05-01,0.5242857142857142
1001,6,2023,2023-06-01,0.9914285714285714
1001,7,2023,2023-07-01,0.7685714285714286
1001,8,2023,2023-08-01,1.1428571428571428
1001,9,2023,2023-09-01,0.6157142857142857
1001,10,2023,2023-10-01,0.5457142857142857
1001,11,2023,2023-11-01,0.5857142857142857
1001,12,2023,2023-12-01,0.22142857142857145
1001,1,2024,2024-01-01,0.3242857142857143
1001,2,2024,2024-02-01,0.18142857142857144
1001,3,2024,2024-03-01,0.6671428571428571
1001,4,2024,2024-04-01,0.48142857142857143
1001,5,2024,2024-05-01,0.5128571428571428
1001,6,2024,2024-06-01,0.9742857142857142
1001,7,2024,2024-07-01,0.7557142857142857
1001,8,2024,2024-08-01,1.1285714285714286
1001,9,2024,2024-09-01,0.6071428571428571
1001,10,2024,2024-10-01,0.5371428571428571
1001,11,2024,2024-11-01,0.5771428571428572
1001,12,2024,2024-12-01,0.2142857142857143
1001,1,2025,2025-01-01,0.31714285714285717
1001,2,2025,2025-02-01,0.1757142857142857
1001,3,2025,2025-03-01,0.6585714285714286
1001,4,2025,2025-04-01,0.4757142857142857
1001,5,2025,2025-05-01,0.5014285714285714
1001,6,2025,2025-06-01,0.9571428571428571
1001,7,2025,2025-07-01,0.7428571428571429
1001,8,2025,2025-08-01,1.1142857142857143
1001,9,2025,2025-09-01,0.5985714285714285
1001,10,2025,2025-10-01,0.5285714285714286
1001,11,2025,2025-11-01,0.5685714285714286
1001,12,2025,2025-12-01,0.20714285714285716
1001,1,2026,2026-01-01,0.31
1001,2,2026,2026-02-01,0.17
1001,3,2026,2026-03-01,0.65
1001,4,2026,2026-04-01,0.47
1001,5,2026,2026-05-01,0.49
1001,6,2026,2026-06-01,0.94
1001,7,2026,2026-07-01,0.73
1001,8,2026,2026-08-01,1.1
1001,9,2026,2026-09-01,0.59
1001,10,2026,2026-10-01,0.52
1001,11,2026,2026-11-01,0.56
1001,12,2026,2026-12-01,0.2
1001,1,2027,2027-01-01,0.308
1001,2,2027,2027-02-01,0.168
1001,3,2027,2027-03-01,0.646
1001,4,2027,2027-04-01,0.46799999999999997
1001,5,2027,2027-05-01,0.488
1001,6,2027,2027-06-01,0.9339999999999999
1001,7,2027,2027-07-01,0.726
1001,8,2027,2027-08-01,1.096
1001,9,2027,2027-09-01,0.588
1001,10,2027,2027-10-01,0.518
1001,11,2027,2027-11-01,0.558
1001,12,2027,2027-12-01,0.198
1001,1,2028,2028-01-01,0.306
1001,2,2028,2028-02-01,0.166
1001,3,2028,2028-03-01,0.642
1001,4,2028,2028-04-01,0.46599999999999997
1001,5,2028,2028-05-01,0.486
1001,6,2028,2028-06-01,0.9279999999999999
1001,7,2028,2028-07-01,0.722
1001,8,2028,2028-08-01,1.092
1001,9,2028,2028-09-01,0.586
1001,10,2028,2028-10-01,0.516
1001,11,2028,2028-11-01,0.556
1001,12,2028,2028-12-01,0.196
1001,1,2029,2029-01-01,0.304
1001,2,2029,2029-02-01,0.164
1001,3,2029,2029-03-01,0.638
1001,4,2029,2029-04-01,0.464
1001,5,2029,2029-05-01,0.484
1001,6,2029,2029-06-01,0.922
1001,7,2029,2029-07-01,0.718
1001,8,2029,2029-08-01,1.088
1001,9,2029,2029-09-01,0.584
1001,10,2029,2029-10-01,0.514
1001,11,2029,2029-11-01,0.554
1001,12,2029,2029-12-01,0.194
1001,1,2030,2030-01-01,0.302
1001,2,2030,2030-02-01,0.162
1001,3,2030,2030-03-01,0.634
1001,4,2030,2030-04-01,0.462
1001,5,2030,2030-05-01,0.482
1001,6,2030,2030-06-01,0.916
1001,7,2030,2030-07-01,0.714
1001,8,2030,2030-08-01,1.084
1001,9,2030,2030-09-01,0.582
1001,10,2030,2030-10-01,0.512
1001,11,2030,2030-11-01,0.552
1001,12,2030,2030-12-01,0.192
1001,1,2031,2031-01-01,0.3
1001,2,2031,2031-02-01,0.16
1001,3,2031,2031-03-01,0.63
1001,4,2031,2031-04-01,0.46
1001,5,2031,2031-05-01,0.48
1001,6,2031,2031-06-01,0.91
1001,7,2031,2031-07-01,0.71
1001,8,2031,2031-08-01,1.08
1001,9,2031,2031-09-01,0.58
1001,10,2031,2031-10-01,0.51
1001,11,2031,2031-11-01,0.55
1001,12,2031,2031-12-01,0.19
1001,1,2032,2032-01-01,0.298
1001,2,2032,2032-02-01,0.16
1001,3,2032,2032-03-01,0.63
1001,4,2032,2032-04-01,0.46
1001,5,2032,2032-05-01,0.478
1001,6,2032,2032-06-01,0.908
1001,7,2032,2032-07-01,0.708
1001,8,2032,2032-08-01,1.08
1001,9,2032,2032-09-01,0.578
1001,10,2032,2032-10-01,0.51
1001,11,2032,2032-11-01,0.548
1001,12,2032,2032-12-01,0.188
1001,1,2033,2033-01-01,0.296
1001,2,2033,2033-02-01,0.16
1001,3,2033,2033-03-01,0.63
1001,4,2033,2033-04-01,0.46
1001,5,2033,2033-05-01,0.476
1001,6,2033,2033-06-01,0.906
1001,7,2033,2033-07-01,0.706
1001,8,2033,2033-08-01,1.08
1001,9,2033,2033-09-01,0.576
1001,10,2033,2033-10-01,0.51
1001,11,2033,2033-11-01,0.546
1001,12,2033,2033-12-01,0.186
1001,1,2034,2034-01-01,0.294
1001,2,2034,2034-02-01,0.16
1001,3,2034,2034-03-01,0.63
1001,4,2034,2034-04-01,0.46
1001,5,2034,2034-05-01,0.474
1001,6,2034,2034-06-01,0.904
1001,7,2034,2034-07-01,0.704
1001,8,2034,2034-08-01,1.08
1001,9,2034,2034-09-01,0.574
1001,10,2034,2034-10-01,0.51
1001,11,2034,2034-11-01,0.544
1001,12,2034,2034-12-01,0.184
1001,1,2035,2035-01-01,0.292
1001,2,2035,2035-02-01,0.16
1001,3,2035,2035-03-01,0.63
1001,4,2035,2035-04-01,0.46
1001,5,2035,2035-05-01,0.472
1001,6,2035,2035-06-01,0.902
1001,7,2035,2035-07-01,0.702
1001,8,2035,2035-08-01,1.08
1001,9,2035,2035-09-01,0.572
1001,10,2035,2035-10-01,0.51
1001,11,2035,2035-11-01,0.542
1001,12,2035,2035-12-01,0.182
1001,1,2036,2036-01-01,0.29
1001,2,2036,2036-02-01,0.16
1001,3,2036,2036-03-01,0.63
1001,4,2036,2036-04-01,0.46
1001,5,2036,2036-05-01,0.47
1001,6,2036,2036-06-01,0.9
1001,7,2036,2036-07-01,0.7
1001,8,2036,2036-08-01,1.08
1001,9,2036,2036-09-01,0.57
1001,10,2036,2036-10-01,0.51
1001,11,2036,2036-11-01,0.54
1001,12,2036,2036-12-01,0.18
1002,1,2019,2019-01-01,0.2
1002,2,2019,2019-02-01,0.13
1002,3,2019,2019-03-01,0.5
1002,4,2019,2019-04-01,0.34
1002,5,2019,2019-05-01,0.37
1002,6,2019,2019-06-01,0.69
1002,7,2019,2019-07-01,0.63
1002,8,2019,2019-08-01,0.89
1002,9,2019,2019-09-01,0.46
1002,10,2019,2019-10-01,0.39
1002,11,2019,2019-11-01,0.4
1002,12,2019,2019-12-01,0.13
1002,1,2020,2020-01-01,0.19571428571428573
1002,2,2020,2020-02-01,0.1285714285714286
1002,3,2020,2020-03-01,0.4942857142857143
1002,4,2020,2020-04-01,0.33571428571428574
1002,5,2020,2020-05-01,0.3657142857142857
1002,6,2020,2020-06-01,0.6785714285714285
1002,7,2020,2020-07-01,0.6185714285714285
1002,8,2020,2020-08-01,0.8742857142857143
1002,9,2020,2020-09-01,0.4542857142857143
1002,10,2020,2020-10-01,0.38571428571428573
1002,11,2020,2020-11-01,0.39571428571428574
1002,12,2020,2020-12-01,0.12714285714285714
1002,1,2021,2021-01-01,0.19142857142857145
1002,2,2021,2021-02-01,0.12714285714285714
1002,3,2021,2021-03-01,0.4885714285714286
1002,4,2021,2021-04-01,0.33142857142857146
1002,5,2021,2021-05-01,0.36142857142857143
1002,6,2021,2021-06-01,0.6671428571428571
1002,7,2021,2021-07-01,0.6071428571428572
1002,8,2021,2021-08-01,0.8585714285714285
1002,9,2021,2021-09-01,0.44857142857142857
1002,10,2021,2021-10-01,0.38142857142857145
1002,11,2021,2021-11-01,0.39142857142857146
1002,12,2021,2021-12-01,0.12428571428571429
1002,1,2022,2022-01-01,0.18714285714285717
1002,2,2022,2022-02-01,0.12571428571428572
1002,3,2022,2022-03-01,0.4828571428571429
1002,4,2022,2022-04-01,0.3271428571428572
1002,5,2022,2022-05-01,0.35714285714285715
1002,6,2022,2022-06-01,0.6557142857142857
1002,7,2022,2022-07-01,0.5957142857142858
1002,8,2022,2022-08-01,0.8428571428571429
1002,9,2022,2022-09-01,0.44285714285714284
1002,10,2022,2022-10-01,0.37714285714285717
1002,11,2022,2022-11-01,0.3871428571428572
1002,12,2022,2022-12-01,0.12142857142857143
1002,1,2023,2023-01-01,0.18285714285714288
1002,2,2023,2023-02-01,0.12428571428571429
1002,3,2023,2023-03-01,0.47714285714285715
1002,4,2023,2023-04-01,0.32285714285714284
1002,5,2023,2023-05-01,0.35285714285714287
1002,6,2023,2023-06-01,0.6442857142857142
1002,7,2023,2023-07-01,0.5842857142857143
1002,8,2023,2023-08-01,0.8271428571428572
1002,9,2023,2023-09-01,0.43714285714285717
1002,10,2023,2023-10-01,0.37285714285714283
1002,11,2023,2023-11-01,0.38285714285714284
1002,12,2023,2023-12-01,0.11857142857142858
1002,1,2024,2024-01-01,0.17857142857142858
1002,2,2024,2024-02-01,0.12285714285714286
1002,3,2024,2024-03-01,0.4714285714285714
1002,4,2024,2024-04-01,0.31857142857142856
1002,5,2024,2024-05-01,0.3485714285714286
1002,6,2024,2024-06-01,0.6328571428571428
1002,7,2024,2024-07-01,0.5728571428571428
1002,8,2024,2024-08-01,0.8114285714285714
1002,9,2024,2024-09-01,0.43142857142857144
1002,10,2024,2024-10-01,0.36857142857142855
1002,11,2024,2024-11-01,0.37857142857142856
1002,12,2024,2024-12-01,0.11571428571428571
1002,1,2025,2025-01-01,0.1742857142857143
1002,2,2025,2025-02-01,0.12142857142857143
1002,3,2025,2025-03-01,0.46571428571428575
1002,4,2025,2025-04-01,0.3142857142857143
1002,5,2025,2025-05-01,0.3442857142857143
1002,6,2025,2025-06-01,0.6214285714285714
1002,7,2025,2025-07-01,0.5614285714285715
1002,8,2025,2025-08-01,0.7957142857142857
1002,9,2025,2025-09-01,0.4257142857142857
1002,10,2025,2025-10-01,0.36428571428571427
1002,11,2025,2025-11-01,0.3742857142857143
1002,12,2025,2025-12-01,0.11285714285714286
1002,1,2026,2026-01-01,0.17
1002,2,2026,2026-02-01,0.12
1002,3,2026,2026-03-01,0.46
1002,4,2026,2026-04-01,0.31
1002,5,2026,2026-05-01,0.34
1002,6,2026,2026-06-01,0.61
1002,7,2026,2026-07-01,0.55
1002,8,2026,2026-08-01,0.78
1002,9,2026,2026-09-01,0.42
1002,10,2026,2026-10-01,0.36
1002,11,2026,2026-11-01,0.37
1002,12,2026,2026-12-01,0.11
1002,1,2027,2027-01-01,0.17
1002,2,2027,2027-02-01,0.12
1002,3,2027,2027-03-01,0.458
1002,4,2027,2027-04-01,0.31
1002,5,2027,2027-05-01,0.336
1002,6,2027,2027-06-01,0.606
1002,7,2027,2027-07-01,0.546
1002,8,2027,2027-08-01,0.776
1002,9,2027,2027-09-01,0.42
1002,10,2027,2027-10-01,0.36
1002,11,2027,2027-11-01,0.368
1002,12,2027,2027-12-01,0.108
1002,1,2028,2028-01-01,0.17
1002,2,2028,2028-02-01,0.12
1002,3,2028,2028-03-01,0.456
1002,4,2028,2028-04-01,0.31
1002,5,2028,2028-05-01,0.332
1002,6,2028,2028-06-01,0.602
1002,7,2028,2028-07-01,0.542
1002,8,2028,2028-08-01,0.772
1002,9,2028,2028-09-01,0.42
1002,10,2028,2028-10-01,0.36
1002,11,2028,2028-11-01,0.366
1002,12,2028,2028-12-01,0.106
1002,1,2029,2029-01-01,0.17
1002,2,2029,2029-02-01,0.12
1002,3,2029,2029-03-01,0.454
1002,4,2029,2029-04-01,0.31
1002,5,2029,2029-05-01,0.328
1002,6,2029,2029-06-01,0.598
1002,7,2029,2029-07-01,0.538
1002,8,2029,2029-08-01,0.768
1002,9,2029,2029-09-01,0.42
1002,10,2029,2029-10-01,0.36
1002,11,2029,2029-11-01,0.364
1002,12,2029,2029-12-01,0.10400000000000001
1002,1,2030,2030-01-01,0.17
1002,2,2030,2030-02-01,0.12
1002,3,2030,2030-03-01,0.452
1002,4,2030,2030-04-01,0.31
1002,5,2030,2030-05-01,0.324
1002,6,2030,2030-06-01,0.594
1002,7,2030,2030-07-01,0.534
1002,8,2030,2030-08-01,0.764
1002,9,2030,2030-09-01,0.42
