"","HLTH_SERVICE_DLVR_AREA_NAME","month","year","date","average_mo"
"1","Central Vancouver Island",1,2021,2021-01-01,1.05083712121212
"2","Central Vancouver Island",1,2022,2022-01-01,1.63887838541667
"3","Central Vancouver Island",1,2023,2023-01-01,0.985401599326599
"4","Central Vancouver Island",2,2021,2021-02-01,0.633797030651341
"5","Central Vancouver Island",2,2022,2022-02-01,0.876047222222222
"6","Central Vancouver Island",2,2023,2023-02-01,0.509681272401434
"7","Central Vancouver Island",3,2018,2018-03-01,1.02865555555556
"8","Central Vancouver Island",3,2020,2020-03-01,0.450162301587302
"9","Central Vancouver Island",3,2021,2021-03-01,0.913016498316498
"10","Central Vancouver Island",3,2022,2022-03-01,0.96448648989899
"11","Central Vancouver Island",3,2023,2023-03-01,1.14916328125
"12","Central Vancouver Island",4,2018,2018-04-01,1.35232678938124
"13","Central Vancouver Island",4,2019,2019-04-01,0.765467361111111
"14","Central Vancouver Island",4,2020,2020-04-01,0.789340972222222
"15","Central Vancouver Island",4,2021,2021-04-01,0.93240564516129
"16","Central Vancouver Island",4,2022,2022-04-01,0.565038143631436
"17","Central Vancouver Island",4,2023,2023-04-01,0.712547777777778
"18","Central Vancouver Island",5,2018,2018-05-01,1.89808692411924
"19","Central Vancouver Island",5,2019,2019-05-01,1.62883911411411
"20","Central Vancouver Island",5,2020,2020-05-01,1.0597833912037
"21","Central Vancouver Island",5,2021,2021-05-01,0.819625490196078
"22","Central Vancouver Island",5,2022,2022-05-01,0.591232026143791
"23","Central Vancouver Island",5,2023,2023-05-01,1.20988799283154
"24","Central Vancouver Island",6,2018,2018-06-01,0.738604841269841
"25","Central Vancouver Island",6,2019,2019-06-01,0.934748688271605
"26","Central Vancouver Island",6,2020,2020-06-01,0.771204166666667
"27","Central Vancouver Island",6,2021,2021-06-01,0.697005253661234
"28","Central Vancouver Island",6,2022,2022-06-01,0.590337654320988
"29","Central Vancouver Island",6,2023,2023-06-01,0.953816176470588
"30","Central Vancouver Island",7,2018,2018-07-01,2.00474769647696
"31","Central Vancouver Island",7,2019,2019-07-01,0.61474864498645
"32","Central Vancouver Island",7,2020,2020-07-01,0.721608010335917
"33","Central Vancouver Island",7,2021,2021-07-01,0.728986625514403
"34","Central Vancouver Island",7,2022,2022-07-01,0.859075954861111
"35","Central Vancouver Island",7,2023,2023-07-01,0.761491830065359
"36","Central Vancouver Island",8,2018,2018-08-01,25.5567121212121
"37","Central Vancouver Island",8,2019,2019-08-01,1.01208543543544
"38","Central Vancouver Island",8,2020,2020-08-01,0.676661458333333
"39","Central Vancouver Island",8,2021,2021-08-01,1.50276879084967
"40","Central Vancouver Island",8,2022,2022-08-01,2.16192763157895
"41","Central Vancouver Island",8,2023,2023-08-01,5.83583422939068
"42","Central Vancouver Island",9,2018,2018-09-01,1.29501377995643
"43","Central Vancouver Island",9,2019,2019-09-01,0.64748112745098
"44","Central Vancouver Island",9,2020,2020-09-01,14.7724343971631
"45","Central Vancouver Island",9,2021,2021-09-01,0.803574074074074
"46","Central Vancouver Island",9,2022,2022-09-01,2.28552066993464
"47","Central Vancouver Island",9,2023,2023-09-01,0.597421626984127
"48","Central Vancouver Island",10,2018,2018-10-01,2.62059024822695
"49","Central Vancouver Island",10,2019,2019-10-01,0.794913211382114
"50","Central Vancouver Island",10,2020,2020-10-01,1.50204241898148
"51","Central Vancouver Island",10,2021,2021-10-01,0.708548313492063
"52","Central Vancouver Island",10,2022,2022-10-01,2.68618780864198
"53","Central Vancouver Island",11,2018,2018-11-01,0.397134126984127
"54","Central Vancouver Island",11,2019,2019-11-01,1.03867150997151
"55","Central Vancouver Island",11,2020,2020-11-01,0.76609619047619
"56","Central Vancouver Island",11,2021,2021-11-01,0.780024641577061
"57","Central Vancouver Island",11,2022,2022-11-01,1.386399002849
"58","Central Vancouver Island",12,2020,2020-12-01,1.17698888888889
"59","Central Vancouver Island",12,2021,2021-12-01,0.477538438438438
"60","Central Vancouver Island",12,2022,2022-12-01,0.549803455284553
"61","East Kootenay",1,2021,2021-01-01,0.55445853301628
"62","East Kootenay",1,2022,2022-01-01,0.613352188128773
"63","East Kootenay",1,2023,2023-01-01,0.41539832937016
"64","East Kootenay",2,2021,2021-02-01,0.374317269132034
"65","East Kootenay",2,2022,2022-02-01,0.422576361394171
"66","East Kootenay",2,2023,2023-02-01,0.344819938988771
"67","East Kootenay",3,2018,2018-03-01,0.547141362460477
"68","East Kootenay",3,2020,2020-03-01,0.234812992239149
"69","East Kootenay",3,2021,2021-03-01,0.54203411987074
"70","East Kootenay",3,2022,2022-03-01,0.677420413389427
"71","East Kootenay",3,2023,2023-03-01,0.647815342052314
"72","East Kootenay",4,2018,2018-04-01,0.671630757216026
"73","East Kootenay",4,2019,2019-04-01,0.648017404426559
"74","East Kootenay",4,2020,2020-04-01,0.670857671026157
"75","East Kootenay",4,2021,2021-04-01,0.669405932368404
"76","East Kootenay",4,2022,2022-04-01,0.465643558914462
"77","East Kootenay",4,2023,2023-04-01,0.718069671361502
"78","East Kootenay",5,2018,2018-05-01,1.69008835451735
"79","East Kootenay",5,2019,2019-05-01,1.4050298548045
"80","East Kootenay",5,2020,2020-05-01,0.608152984574111
"81","East Kootenay",5,2021,2021-05-01,0.858398129956208
"82","East Kootenay",5,2022,2022-05-01,0.751997514498757
"83","East Kootenay",5,2023,2023-05-01,9.14314272733173
"84","East Kootenay",6,2018,2018-06-01,0.84405160103478
"85","East Kootenay",6,2019,2019-06-01,0.638457366420747
"86","East Kootenay",6,2020,2020-06-01,0.828538273116963
"87","East Kootenay",6,2021,2021-06-01,0.943392465462508
"88","East Kootenay",6,2022,2022-06-01,0.572594723898949
"89","East Kootenay",6,2023,2023-06-01,3.83716960587052
"90","East Kootenay",7,2018,2018-07-01,2.34501055111155
"91","East Kootenay",7,2019,2019-07-01,1.17468773617314
"92","East Kootenay",7,2020,2020-07-01,0.887069580272332
"93","East Kootenay",7,2021,2021-07-01,29.5668663834861
"94","East Kootenay",7,2022,2022-07-01,1.25189650402414
"95","East Kootenay",7,2023,2023-07-01,7.05897526334477
"96","East Kootenay",8,2018,2018-08-01,36.6755542344979
"97","East Kootenay",8,2019,2019-08-01,1.60857797596389
"98","East Kootenay",8,2020,2020-08-01,3.20145187793427
"99","East Kootenay",8,2021,2021-08-01,8.58124748490946
"100","East Kootenay",8,2022,2022-08-01,8.17349359313777
"101","East Kootenay",8,2023,2023-08-01,10.8916253650938
"102","East Kootenay",9,2018,2018-09-01,3.59491179232256
"103","East Kootenay",9,2019,2019-09-01,0.840893999289857
"104","East Kootenay",9,2020,2020-09-01,22.0278243075474
"105","East Kootenay",9,2021,2021-09-01,2.41124882629108
"106","East Kootenay",9,2022,2022-09-01,7.81434503491537
"107","East Kootenay",9,2023,2023-09-01,2.06611411325093
"108","East Kootenay",10,2018,2018-10-01,2.16317467357336
"109","East Kootenay",10,2019,2019-10-01,0.460574431957599
"110","East Kootenay",10,2020,2020-10-01,1.29289087860496
"111","East Kootenay",10,2021,2021-10-01,0.732008393216442
"112","East Kootenay",10,2022,2022-10-01,4.0249941873463
"113","East Kootenay",11,2018,2018-11-01,0.252507042253521
"114","East Kootenay",11,2019,2019-11-01,0.538625475932518
"115","East Kootenay",11,2020,2020-11-01,0.499673584363323
"116","East Kootenay",11,2021,2021-11-01,0.475049263321867
