"","HLTH_SERVICE_DLVR_AREA_CODE","year","month","monthly_smoke","date"
"1","11",2012,1,8.49178220090104,2012-01-01
"2","11",2012,2,9.06619427443501,2012-02-01
"3","11",2012,3,7.39491496688537,2012-03-01
"4","11",2012,4,6.37778831287501,2012-04-01
"5","11",2012,5,5.99716400502491,2012-05-01
"6","11",2012,6,5.75426805518194,2012-06-01
"7","11",2012,7,7.23751942728233,2012-07-01
"8","11",2012,8,6.74508414408348,2012-08-01
"9","11",2012,9,7.63539290704016,2012-09-01
"10","11",2012,10,7.04754489259018,2012-10-01
"11","11",2012,11,7.82588676674442,2012-11-01
"12","11",2012,12,7.80137723465391,2012-12-01
"13","11",2013,1,9.42486242003158,2013-01-01
"14","11",2013,2,8.96727855975196,2013-02-01
"15","11",2013,3,7.63222382901113,2013-03-01
"16","11",2013,4,6.2922590835277,2013-04-01
"17","11",2013,5,5.73094694254614,2013-05-01
"18","11",2013,6,5.71676893690681,2013-06-01
"19","11",2013,7,6.05434479053801,2013-07-01
"20","11",2013,8,8.3977492051336,2013-08-01
"21","11",2013,9,6.36637502064443,2013-09-01
"22","11",2013,10,8.59439501669061,2013-10-01
"23","11",2013,11,9.9185469023514,2013-11-01
"24","11",2013,12,8.78228414932908,2013-12-01
"25","11",2014,1,9.17205709000816,2014-01-01
"26","11",2014,2,8.45967230259163,2014-02-01
"27","11",2014,3,7.60959103018224,2014-03-01
"28","11",2014,4,6.33002835486343,2014-04-01
"29","11",2014,5,5.7426875139966,2014-05-01
"30","11",2014,6,5.41332740158017,2014-06-01
"31","11",2014,7,9.1607640721888,2014-07-01
"32","11",2014,8,11.9275076460361,2014-08-01
"33","11",2014,9,5.78004312192384,2014-09-01
"34","11",2014,10,7.20951555747263,2014-10-01
"35","11",2014,11,9.07688791822205,2014-11-01
"36","11",2014,12,9.16614208483546,2014-12-01
"37","11",2015,1,9.43408245067815,2015-01-01
"38","11",2015,2,8.52409304620261,2015-02-01
"39","11",2015,3,7.653186062081,2015-03-01
"40","11",2015,4,5.90026177529671,2015-04-01
