Year,REGION,HA_NAME,HSDA_NAME,agegrp,SEX,DISEASE,INC_CRUDE_RATE,INC_CRUDE_RATE_LOWER,INC_CRUDE_RATE_UPPER,PRE_CRUDE_RATE,PRE_CRUDE_RATE_LOWER,PRE_CRUDE_RATE_UPPER,age_min,age_max
2001,BC,,,1-19,F,"Asthma, Episodic 1+",,,,4.3,4.2,4.3,1.0,19.0
2001,BC,,,1-19,F,Asthma 1+,1140.8,1109.0,1173.4,9.6,9.6,9.7,1.0,19.0
2001,BC,,,1-19,M,"Asthma, Episodic 1+",,,,6.0,5.9,6.0,1.0,19.0
2001,BC,,,1-19,M,Asthma 1+,1488.4,1452.3,1525.3,13.4,13.3,13.5,1.0,19.0
2001,BC,,,1-19,T,"Asthma, Episodic 1+",,,,5.1,5.1,5.2,1.0,19.0
2001,BC,,,1-19,T,Asthma 1+,1316.1,1291.9,1340.6,11.6,11.5,11.6,1.0,19.0
2001,BC,,,20-34,F,Asthma 1+,732.6,705.4,760.5,7.9,7.8,8.0,20.0,34.0
2001,BC,,,20-34,F,"Asthma, Episodic 1+",,,,3.9,3.9,4.0,20.0,34.0
2001,BC,,,20-34,M,Asthma 1+,473.5,451.7,496.1,5.5,5.4,5.6,20.0,34.0
2001,BC,,,20-34,M,"Asthma, Episodic 1+",,,,2.7,2.7,2.8,20.0,34.0
2001,BC,,,20-34,T,Asthma 1+,603.3,585.9,621.2,6.7,6.6,6.8,20.0,34.0
2001,BC,,,20-34,T,"Asthma, Episodic 1+",,,,3.3,3.3,3.4,20.0,34.0
2001,BC,,,35-49,F,"Asthma, Episodic 1+",,,,4.1,4.0,4.2,35.0,49.0
2001,BC,,,35-49,F,Asthma 1+,692.3,668.8,716.3,7.2,7.1,7.3,35.0,49.0
2001,BC,,,35-49,M,"Asthma, Episodic 1+",,,,2.7,2.6,2.7,35.0,49.0
2001,BC,,,35-49,M,Asthma 1+,460.7,441.5,480.4,4.6,4.6,4.7,35.0,49.0
2001,BC,,,35-49,T,Asthma 1+,576.5,561.3,592.0,5.9,5.9,6.0,35.0,49.0
2001,BC,,,35-49,T,"Asthma, Episodic 1+",,,,3.4,3.4,3.4,35.0,49.0
2001,BC,,,50-64,F,Asthma 1+,784.1,753.5,815.6,8.0,7.9,8.1,50.0,64.0
2001,BC,,,50-64,F,"Asthma, Episodic 1+",,,,5.1,5.0,5.2,50.0,64.0
2001,BC,,,50-64,M,Asthma 1+,477.7,454.2,502.0,5.2,5.1,5.3,50.0,64.0
2001,BC,,,50-64,M,"Asthma, Episodic 1+",,,,3.3,3.2,3.4,50.0,64.0
2001,BC,,,50-64,T,"Asthma, Episodic 1+",,,,4.2,4.1,4.2,50.0,64.0
2001,BC,,,50-64,T,Asthma 1+,628.5,609.2,648.2,6.6,6.6,6.7,50.0,64.0
2001,BC,,,65-79,F,Asthma 1+,872.8,831.2,915.8,10.1,9.9,10.2,65.0,79.0
2001,BC,,,65-79,F,"Asthma, Episodic 1+",,,,7.0,6.9,7.1,65.0,79.0
2001,BC,,,65-79,M,Asthma 1+,796.7,755.2,839.9,8.7,8.6,8.9,65.0,79.0
2001,BC,,,65-79,M,"Asthma, Episodic 1+",,,,6.4,6.3,6.5,65.0,79.0
2001,BC,,,65-79,T,"Asthma, Episodic 1+",,,,6.7,6.6,6.8,65.0,79.0
2001,BC,,,65-79,T,Asthma 1+,836.0,806.5,866.3,9.4,9.3,9.5,65.0,79.0
2001,BC,,,80+,F,"Asthma, Episodic 1+",,,,7.1,6.9,7.3,80.0,
2001,BC,,,80+,F,Asthma 1+,795.1,734.1,859.9,10.7,10.5,10.9,80.0,
2001,BC,,,80+,M,Asthma 1+,930.1,842.7,1024.0,11.9,11.6,12.2,80.0,
2001,BC,,,80+,M,"Asthma, Episodic 1+",,,,8.5,8.3,8.8,80.0,
2001,BC,,,80+,T,"Asthma, Episodic 1+",,,,7.6,7.5,7.7,80.0,
2001,BC,,,80+,T,Asthma 1+,839.7,789.5,892.3,11.1,10.9,11.3,80.0,
2001,BC,,,Total,F,Asthma 1+,841.4,828.2,854.7,8.5,8.4,8.5,,
2001,BC,,,Total,F,"Asthma, Episodic 1+",,,,4.7,4.7,4.7,,
2001,BC,,,Total,M,Asthma 1+,753.5,741.0,766.3,7.7,7.6,7.7,,
2001,BC,,,Total,M,"Asthma, Episodic 1+",,,,4.1,4.1,4.2,,
2001,BC,,,Total,T,"Asthma, Episodic 1+",,,,4.4,4.4,4.4,,
2001,BC,,,Total,T,Asthma 1+,797.7,788.6,806.9,8.1,8.1,8.1,,
2001,HA-1,Interior,,1-19,F,Asthma 1+,955.6,885.5,1029.8,9.0,8.8,9.3,1.0,19.0
2001,HA-1,Interior,,1-19,F,"Asthma, Episodic 1+",,,,3.9,3.8,4.1,1.0,19.0
2001,HA-1,Interior,,1-19,M,Asthma 1+,1167.1,1090.3,1247.9,12.0,11.8,12.3,1.0,19.0
2001,HA-1,Interior,,1-19,M,"Asthma, Episodic 1+",,,,5.3,5.1,5.4,1.0,19.0
2001,HA-1,Interior,,1-19,T,Asthma 1+,1062.4,1010.1,1116.7,10.6,10.4,10.7,1.0,19.0
2001,HA-1,Interior,,1-19,T,"Asthma, Episodic 1+",,,,4.6,4.5,4.7,1.0,19.0
2001,HA-1,Interior,,20-34,F,Asthma 1+,757.2,684.1,836.0,8.9,8.7,9.2,20.0,34.0
2001,HA-1,Interior,,20-34,F,"Asthma, Episodic 1+",,,,4.5,4.4,4.7,20.0,34.0
2001,HA-1,Interior,,20-34,M,Asthma 1+,383.4,332.4,440.1,5.7,5.5,5.9,20.0,34.0
2001,HA-1,Interior,,20-34,M,"Asthma, Episodic 1+",,,,2.8,2.7,3.0,20.0,34.0
2001,HA-1,Interior,,20-34,T,Asthma 1+,568.7,523.8,616.3,7.3,7.2,7.5,20.0,34.0
2001,HA-1,Interior,,20-34,T,"Asthma, Episodic 1+",,,,3.7,3.6,3.8,20.0,34.0
2001,HA-1,Interior,,35-49,F,Asthma 1+,653.8,597.6,713.9,7.0,6.8,7.2,35.0,49.0
2001,HA-1,Interior,,35-49,F,"Asthma, Episodic 1+",,,,4.1,4.0,4.3,35.0,49.0
2001,HA-1,Interior,,35-49,M,"Asthma, Episodic 1+",,,,2.6,2.4,2.7,35.0,49.0
2001,HA-1,Interior,,35-49,M,Asthma 1+,393.1,349.3,441.0,4.3,4.2,4.5,35.0,49.0
2001,HA-1,Interior,,35-49,T,Asthma 1+,525.2,489.2,563.2,5.7,5.6,5.8,35.0,49.0
2001,HA-1,Interior,,35-49,T,"Asthma, Episodic 1+",,,,3.4,3.3,3.5,35.0,49.0
2001,HA-1,Interior,,50-64,F,Asthma 1+,746.8,678.1,820.7,7.9,7.7,8.1,50.0,64.0
2001,HA-1,Interior,,50-64,F,"Asthma, Episodic 1+",,,,5.2,5.0,5.3,50.0,64.0
2001,HA-1,Interior,,50-64,M,Asthma 1+,447.0,394.6,504.4,4.9,4.8,5.1,50.0,64.0
2001,HA-1,Interior,,50-64,M,"Asthma, Episodic 1+",,,,3.2,3.1,3.4,50.0,64.0
2001,HA-1,Interior,,50-64,T,Asthma 1+,595.6,552.1,641.5,6.4,6.3,6.6,50.0,64.0
2001,HA-1,Interior,,50-64,T,"Asthma, Episodic 1+",,,,4.2,4.1,4.3,50.0,64.0
2001,HA-1,Interior,,65-79,F,"Asthma, Episodic 1+",,,,6.9,6.6,7.1,65.0,79.0
2001,HA-1,Interior,,65-79,F,Asthma 1+,803.5,716.6,897.9,9.7,9.4,10.0,65.0,79.0
2001,HA-1,Interior,,65-79,M,Asthma 1+,748.5,663.2,841.7,8.7,8.5,9.0,65.0,79.0
2001,HA-1,Interior,,65-79,M,"Asthma, Episodic 1+",,,,6.5,6.3,6.8,65.0,79.0
2001,HA-1,Interior,,65-79,T,Asthma 1+,776.2,714.8,841.4,9.2,9.0,9.4,65.0,79.0
2001,HA-1,Interior,,65-79,T,"Asthma, Episodic 1+",,,,6.7,6.5,6.9,65.0,79.0
2001,HA-1,Interior,,80+,F,Asthma 1+,784.9,648.6,941.4,10.9,10.4,11.5,80.0,
2001,HA-1,Interior,,80+,F,"Asthma, Episodic 1+",,,,7.3,6.9,7.7,80.0,
2001,HA-1,Interior,,80+,M,Asthma 1+,920.2,735.0,1137.9,12.2,11.5,12.9,80.0,
2001,HA-1,Interior,,80+,M,"Asthma, Episodic 1+",,,,9.1,8.5,9.7,80.0,
2001,HA-1,Interior,,80+,T,Asthma 1+,832.4,721.3,955.8,11.4,11.0,11.8,80.0,
2001,HA-1,Interior,,80+,T,"Asthma, Episodic 1+",,,,8.0,7.6,8.3,80.0,
2001,HA-1,Interior,,Total,F,Asthma 1+,783.0,752.2,814.7,8.5,8.4,8.6,,
2001,HA-1,Interior,,Total,F,"Asthma, Episodic 1+",,,,4.8,4.8,4.9,,
2001,HA-1,Interior,,Total,M,Asthma 1+,647.2,619.0,676.3,7.4,7.3,7.5,,
2001,HA-1,Interior,,Total,M,"Asthma, Episodic 1+",,,,4.1,4.0,4.2,,
2001,HA-1,Interior,,Total,T,Asthma 1+,715.5,694.5,736.9,8.0,7.9,8.0,,
2001,HA-1,Interior,,Total,T,"Asthma, Episodic 1+",,,,4.5,4.4,4.5,,
2001,HA-2,Fraser,,1-19,F,"Asthma, Episodic 1+",,,,4.4,4.3,4.5,1.0,19.0
2001,HA-2,Fraser,,1-19,F,Asthma 1+,1237.0,1182.0,1293.9,10.0,9.8,10.1,1.0,19.0
2001,HA-2,Fraser,,1-19,M,Asthma 1+,1675.6,1611.9,1741.1,14.3,14.1,14.4,1.0,19.0
2001,HA-2,Fraser,,1-19,M,"Asthma, Episodic 1+",,,,6.5,6.3,6.6,1.0,19.0
2001,HA-2,Fraser,,1-19,T,"Asthma, Episodic 1+",,,,5.5,5.4,5.5,1.0,19.0
2001,HA-2,Fraser,,1-19,T,Asthma 1+,1458.0,1415.7,1501.1,12.2,12.1,12.3,1.0,19.0
2001,HA-2,Fraser,,20-34,F,"Asthma, Episodic 1+",,,,4.0,3.9,4.1,20.0,34.0
2001,HA-2,Fraser,,20-34,F,Asthma 1+,767.6,720.5,817.1,8.1,8.0,8.3,20.0,34.0
2001,HA-2,Fraser,,20-34,M,"Asthma, Episodic 1+",,,,2.9,2.8,3.0,20.0,34.0
2001,HA-2,Fraser,,20-34,M,Asthma 1+,549.8,509.6,592.3,6.0,5.9,6.1,20.0,34.0
2001,HA-2,Fraser,,20-34,T,Asthma 1+,659.7,628.5,692.0,7.1,7.0,7.2,20.0,34.0
2001,HA-2,Fraser,,20-34,T,"Asthma, Episodic 1+",,,,3.5,3.4,3.5,20.0,34.0
2001,HA-2,Fraser,,35-49,F,"Asthma, Episodic 1+",,,,4.3,4.2,4.4,35.0,49.0
2001,HA-2,Fraser,,35-49,F,Asthma 1+,759.0,716.7,803.2,7.7,7.6,7.9,35.0,49.0
2001,HA-2,Fraser,,35-49,M,"Asthma, Episodic 1+",,,,2.9,2.8,3.0,35.0,49.0
