"REF_DATE","GEO","DGUID","Age group","Sex","Element","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","British Columbia","2016A000259","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171446","10.1.1.3","0.00376","","","","5"
"2013","British Columbia","2016A000259","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171446","10.1.1.3","0.00363","","","","5"
"2014","British Columbia","2016A000259","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171446","10.1.1.3","0.00417","","","","5"
"2015","British Columbia","2016A000259","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171446","10.1.1.3","0.00328","","","","5"
"2016","British Columbia","2016A000259","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171446","10.1.1.3","0.00343","","","","5"
"2017","British Columbia","2016A000259","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171446","10.1.1.3","0.00301","","","","5"
"2018","British Columbia","2016A000259","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171446","10.1.1.3","0.00402","","","","5"
"2019","British Columbia","2016A000259","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171446","10.1.1.3","0.00331","","","","5"
"2020","British Columbia","2016A000259","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171446","10.1.1.3","0.00363","","","","5"
"2021","British Columbia","2016A000259","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171446","10.1.1.3","0.00348","","","","5"
"2022","British Columbia","2016A000259","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171446","10.1.1.3","0.00391","","","","5"
"2012","British Columbia","2016A000259","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171473","10.2.1.3","0.00034","","","","5"
"2013","British Columbia","2016A000259","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171473","10.2.1.3","0.00033","","","","5"
"2014","British Columbia","2016A000259","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171473","10.2.1.3","0.00018","","","","5"
"2015","British Columbia","2016A000259","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171473","10.2.1.3","0.00018","","","","5"
"2016","British Columbia","2016A000259","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171473","10.2.1.3","0.00022","","","","5"
"2017","British Columbia","2016A000259","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171473","10.2.1.3","0.00021","","","","5"
"2018","British Columbia","2016A000259","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171473","10.2.1.3","0.00016","","","","5"
"2019","British Columbia","2016A000259","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171473","10.2.1.3","0.00021","","","","5"
"2020","British Columbia","2016A000259","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171473","10.2.1.3","0.00016","","","","5"
"2021","British Columbia","2016A000259","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171473","10.2.1.3","0.00018","","","","5"
"2022","British Columbia","2016A000259","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171473","10.2.1.3","0.00028","","","","5"
"2012","British Columbia","2016A000259","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171500","10.3.1.3","0.00020","","","","5"
"2013","British Columbia","2016A000259","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171500","10.3.1.3","0.00019","","","","5"
"2014","British Columbia","2016A000259","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171500","10.3.1.3","0.00015","","","","5"
"2015","British Columbia","2016A000259","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171500","10.3.1.3","0.00016","","","","5"
"2016","British Columbia","2016A000259","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171500","10.3.1.3","0.00016","","","","5"
"2017","British Columbia","2016A000259","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171500","10.3.1.3","0.00018","","","","5"
"2018","British Columbia","2016A000259","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171500","10.3.1.3","0.00014","","","","5"
"2019","British Columbia","2016A000259","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171500","10.3.1.3","0.00015","","","","5"
"2020","British Columbia","2016A000259","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171500","10.3.1.3","0.00012","","","","5"
"2021","British Columbia","2016A000259","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171500","10.3.1.3","0.00012","","","","5"
"2022","British Columbia","2016A000259","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171500","10.3.1.3","0.00016","","","","5"
"2012","British Columbia","2016A000259","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171527","10.4.1.3","0.00013","","","","5"
"2013","British Columbia","2016A000259","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171527","10.4.1.3","0.00012","","","","5"
"2014","British Columbia","2016A000259","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171527","10.4.1.3","0.00012","","","","5"
"2015","British Columbia","2016A000259","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171527","10.4.1.3","0.00014","","","","5"
"2016","British Columbia","2016A000259","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171527","10.4.1.3","0.00012","","","","5"
"2017","British Columbia","2016A000259","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171527","10.4.1.3","0.00015","","","","5"
"2018","British Columbia","2016A000259","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171527","10.4.1.3","0.00012","","","","5"
"2019","British Columbia","2016A000259","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171527","10.4.1.3","0.00011","","","","5"
"2020","British Columbia","2016A000259","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171527","10.4.1.3","0.00010","","","","5"
"2021","British Columbia","2016A000259","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171527","10.4.1.3","0.00008","","","","5"
"2022","British Columbia","2016A000259","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171527","10.4.1.3","0.00010","","","","5"
"2012","British Columbia","2016A000259","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171554","10.5.1.3","0.00009","","","","5"
"2013","British Columbia","2016A000259","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171554","10.5.1.3","0.00008","","","","5"
"2014","British Columbia","2016A000259","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171554","10.5.1.3","0.00010","","","","5"
"2015","British Columbia","2016A000259","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171554","10.5.1.3","0.00012","","","","5"
"2016","British Columbia","2016A000259","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171554","10.5.1.3","0.00010","","","","5"
"2017","British Columbia","2016A000259","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171554","10.5.1.3","0.00013","","","","5"
"2018","British Columbia","2016A000259","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171554","10.5.1.3","0.00010","","","","5"
"2019","British Columbia","2016A000259","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171554","10.5.1.3","0.00009","","","","5"
"2020","British Columbia","2016A000259","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171554","10.5.1.3","0.00008","","","","5"
